date,open,high,low,chengjiaogushu,huanshoulv,chengjiaoe,zongshizhi,ltshizhi,close
2008/5/12,28.21,31.17,28.21,18212540,84.9465,5.42,32.48,6.5,30.31
2008/5/13,30.45,33.34,30.41,4998231,23.3126,1.6,35.73,7.15,33.34
2008/5/14,34.2,34.98,32.3,4922130,22.9577,1.64,36.38,7.28,33.95
2008/5/15,33.45,35.9,33.45,4635873,21.6225,1.61,36.44,7.29,34
2008/5/16,33.5,35.29,32.7,3477867,16.2214,1.18,35.32,7.07,32.96
2008/5/19,33.49,36.26,33.05,2706178,12.6221,0.94,38.86,7.77,36.26
2008/5/20,36.88,38.17,35.26,3350159,15.6257,1.24,39.12,7.83,36.5
2008/5/21,36.7,37,34.8,2727333,12.7208,0.98,39.49,7.9,36.85
2008/5/22,36,37.2,35.01,2299376,10.7247,0.83,38.24,7.65,35.68
2008/5/23,35.08,37.63,35.08,2350531,10.9633,0.86,40.08,8.02,37.4
2008/5/26,37,37.8,35.9,1072142,5.0007,0.39,38.77,7.76,36.18
2008/5/27,35.87,36.6,34.3,1002699,4.6768,0.35,36.97,7.4,34.5
2008/5/28,34.56,35.8,33.51,898586,4.1912,0.31,37.51,7.5,35
2008/5/29,34.6,36.5,34.4,837634,3.9069,0.3,38.78,7.76,36.19
2008/5/30,35.8,37.18,35.8,807523,3.7664,0.3,39.32,7.87,36.69
2008/6/2,36.48,36.56,35.21,487290,2.2728,0.17,38.86,7.77,36.26
2008/6/3,36.1,39.75,36.02,1597372,7.4504,0.61,41.45,8.29,38.68
2008/6/4,38.45,38.75,37.03,881802,4.1129,0.34,41,8.2,38.26
2008/6/5,37.7,38.88,37.05,567628,2.6475,0.22,41.26,8.25,38.5
2008/6/6,39.19,39.75,38.25,634327,2.9586,0.25,41.58,8.32,38.8
2008/6/10,37.66,38.49,35,1176500,5.4874,0.43,39.52,7.91,36.88
2008/6/11,36.01,36.96,34.5,1232929,5.7506,0.44,38.47,7.7,35.9
2008/6/12,35.43,35.9,34.03,700601,3.2677,0.24,38.15,7.63,35.6
2008/6/13,35.41,35.45,32.31,1469408,6.8536,0.49,35.35,7.07,32.99
2008/6/16,32.61,32.99,30.01,1820979,8.4934,0.57,34.51,6.9,32.2
2008/6/17,31.61,32.19,30.28,345980,1.6137,0.11,32.47,6.5,30.3
2008/6/18,30.02,31.97,28.6,631943,2.9475,0.19,34.18,6.84,31.89
2008/6/19,31,31.45,28.72,531042,2.4769,0.16,31.7,6.34,29.58
2008/6/20,29.25,31.4,27.71,487879,2.2756,0.14,32.51,6.5,30.34
2008/6/23,29.5,30.19,29,348145,1.6238,0.1,31.99,6.4,29.85
2008/6/24,29.7,31.49,29.3,558432,2.6046,0.17,33.65,6.73,31.4
2008/6/25,31.01,32.18,30.52,471032,2.197,0.15,34.08,6.82,31.8
2008/6/26,31.8,31.88,30.3,641741,2.9932,0.2,33.44,6.69,31.2
2008/6/27,30,30.83,29.4,381986,1.7817,0.12,31.53,6.31,29.42
2008/6/30,29.55,30.18,28.56,217617,1.015,0.06,32.25,6.45,30.09
2008/7/1,30.09,30.1,29,144180,0.6725,0.04,32.15,6.43,30
2008/7/2,30,30.98,29.61,197415,0.9208,0.06,32.75,6.55,30.56
2008/7/3,29.68,32,29.33,511395,2.3852,0.16,33.86,6.78,31.6
2008/7/4,31.2,31.3,30.2,215576,1.0055,0.07,32.77,6.56,30.58
2008/7/7,31.48,31.96,30.81,425147,1.983,0.13,33.45,6.69,31.21
2008/7/8,31.3,32,31.2,780133,3.6387,0.25,34.29,6.86,32
2008/7/9,32.45,32.5,30.9,697438,3.253,0.22,33.98,6.8,31.71
2008/7/10,31.2,34.33,31.12,1026309,4.7869,0.33,36.22,7.25,33.8
2008/7/11,32.68,34.75,32.68,809875,3.7774,0.27,37.19,7.44,34.7
2008/7/14,34.6,35.46,34.12,697997,3.2556,0.24,37.51,7.5,35
2008/7/15,34.9,35.05,32.8,367863,1.7158,0.12,36.22,7.25,33.8
2008/7/16,33.2,33.7,31.35,246096,1.1478,0.08,34.51,6.9,32.2
2008/7/17,32.69,32.78,31.36,165303,0.771,0.05,33.61,6.72,31.36
2008/7/18,31.39,32.32,31.01,141839,0.6616,0.04,34.35,6.87,32.05
2008/7/21,32.05,33.45,31.8,314346,1.4662,0.1,35.47,7.1,33.1
2008/7/22,32.8,33.44,32.51,129874,0.6058,0.04,34.96,6.99,32.62
2008/7/23,32.38,33.23,32.38,162320,0.7571,0.05,34.9,6.98,32.57
